ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
SKL,Lower Slough,5/12/1990,0.46,36.8106,-121.7864,15.20,23.00,7.99,,8.70,8.50,,,0.07,5.05,0.07,5.27,0.00,,0.10,3.25,,0.00,0.00
SP,Lower Slough,5/12/1990,0.62,36.8247,-121.7774,20.00,25.00,7.84,,9.80,35.00,,,0.01,1.05,0.01,1.07,0.00,,0.63,20.22,,0.00,0.00
SRB,Salinas River,5/12/1990,0.67,36.7321,-121.7807,20.00,2.00,8.00,,,30.00,,,0.02,1.40,13.63,973.78,0.00,,0.02,0.50,,0.00,0.00
SRL,Salinas River,5/12/1990,0.64,36.748,-121.7835,19.00,4.90,8.36,,9.30,35.00,,,0.01,0.66,9.69,691.84,0.00,,0.08,2.60,,0.00,0.00
CC,Upper Slough,6/9/1990,0.65,36.8601,-121.7401,24.00,2.50,7.74,,17.80,,,,0.07,5.25,0.29,20.81,0.00,,0.50,16.19,,0.00,0.00
HLE,Upper Slough,6/9/1990,0.60,36.8563,-121.7549,23.80,21.50,8.20,,11.00,,,,0.00,0.31,0.01,0.64,0.00,,0.48,15.43,,0.00,0.00
HLW,Upper Slough,6/9/1990,0.61,36.8565,-121.755,22.00,28.00,7.58,,3.95,,,,0.01,0.48,0.01,0.93,0.00,,0.21,6.94,,0.00,0.00
KP,Upper Slough,6/9/1990,0.60,36.8398,-121.7437,21.50,27.20,7.59,,6.09,,,,0.07,4.70,0.03,2.05,0.00,,0.13,4.18,,0.00,0.00
PRN,Tembladero Slough,6/9/1990,0.71,36.7908,-121.7904,18.50,24.80,7.07,,9.40,,,,0.06,4.07,0.98,69.79,0.00,,0.15,4.87,,0.00,0.00
PRS,Tembladero Slough,6/9/1990,0.71,36.7904,-121.7907,22.00,8.80,7.50,,14.10,,,,0.07,4.90,13.20,942.94,0.00,,0.41,13.13,,0.00,0.00
RBR,Reserve,6/9/1990,0.54,36.8199,-121.7371,20.00,27.50,7.39,,6.50,,,,0.07,5.28,0.05,3.39,0.00,,0.13,4.11,,0.00,0.00
RNM,Reserve,6/9/1990,0.58,36.8364,-121.7323,24.00,32.00,6.96,,8.40,,,,0.45,32.16,0.01,1.01,0.00,,0.08,2.53,,0.00,0.00
RSM,Reserve,6/9/1990,0.56,36.824,-121.74,23.00,28.00,7.81,,7.60,,,,0.03,2.15,0.02,1.38,0.00,,0.11,3.70,,0.00,0.00
SKL,Lower Slough,6/9/1990,0.49,36.8106,-121.7864,17.00,27.00,8.16,,10.90,,,,0.03,2.32,0.01,1.06,0.00,,0.11,3.66,,0.00,0.00
BSE,Lower Slough,6/10/1990,0.69,36.8215,-121.7834,21.50,28.00,7.01,,9.39,2.10,,,0.01,0.49,0.02,1.43,0.00,,0.39,12.47,,0.00,0.00
BSW,Lower Slough,6/10/1990,0.67,36.8209,-121.7909,22.00,25.00,7.20,,8.80,2.60,,,0.05,3.26,0.03,2.33,0.00,,0.22,7.04,,0.00,0.00
JR,Lower Slough,6/10/1990,0.69,36.8171,-121.7871,20.00,27.00,7.02,,8.60,3.50,,,0.04,3.00,0.03,2.09,0.00,,0.15,4.79,,0.00,0.00
MCS,Lower Slough,6/10/1990,0.41,36.7963,-121.7832,20.50,28.00,7.86,,12.20,14.00,,,0.02,1.78,0.07,5.18,0.00,,0.09,2.76,,0.00,0.00
SP,Lower Slough,6/10/1990,0.66,36.8247,-121.7774,22.10,31.50,8.35,,16.10,55.00,,,0.01,0.91,0.02,1.55,0.00,,0.67,21.62,,0.00,0.00
SRB,Salinas River,6/10/1990,0.39,36.7321,-121.7807,20.50,1.50,8.55,,16.30,16.00,,,0.02,1.20,13.42,958.51,0.00,,0.00,0.01,,0.00,0.00
SRL,Salinas River,6/10/1990,0.37,36.748,-121.7835,18.50,3.50,8.57,,16.40,11.00,,,0.01,0.69,11.06,789.85,0.00,,0.00,0.01,,0.00,0.00
BSE,Lower Slough,7/15/1990,0.76,36.8215,-121.7834,20.10,22.00,7.50,,9.00,7.50,,,0.05,3.84,0.03,1.93,0.00,,0.28,9.01,,0.00,0.00
BSW,Lower Slough,7/15/1990,0.66,36.8209,-121.7909,19.50,19.50,7.91,,9.40,7.00,,,0.06,3.94,0.03,1.85,0.00,,0.10,3.34,,0.00,0.00
CC,Upper Slough,7/15/1990,0.62,36.8601,-121.7401,24.50,20.00,8.37,,14.30,16.00,,,0.00,0.30,0.02,1.66,0.00,,0.82,26.32,,0.00,0.00
HLE,Upper Slough,7/15/1990,0.61,36.8563,-121.7549,21.80,24.90,7.59,,3.90,7.00,,,0.13,9.30,0.02,1.46,0.00,,0.23,7.36,,0.00,0.00
HLW,Upper Slough,7/15/1990,0.60,36.8565,-121.755,23.20,23.20,7.66,,9.50,16.00,,,0.03,2.39,0.03,2.48,0.00,,0.02,0.56,,0.00,0.00
JR,Lower Slough,7/15/1990,0.66,36.8171,-121.7871,17.70,21.80,8.01,,10.30,4.50,,,0.05,3.42,0.03,2.18,0.00,,0.08,2.46,,0.00,0.00
KP,Upper Slough,7/15/1990,0.59,36.8398,-121.7437,22.80,23.80,7.52,,7.60,14.00,,,0.14,9.86,0.03,2.03,0.00,,0.14,4.55,,0.00,0.00
MCS,Lower Slough,7/15/1990,0.75,36.7963,-121.7832,21.00,19.50,7.96,,19.00,3.50,,,0.04,2.81,0.13,9.56,0.00,,0.07,2.10,,0.00,0.00
PRN,Tembladero Slough,7/15/1990,0.68,36.7908,-121.7904,18.00,20.80,8.09,,13.80,6.50,,,0.00,0.26,1.30,92.58,0.00,,0.10,3.12,,0.00,0.00
PRS,Tembladero Slough,7/15/1990,0.68,36.7904,-121.7907,22.50,6.00,8.36,,14.00,8.00,,,0.03,2.02,9.16,654.60,0.00,,0.11,3.59,,0.00,0.00
RBR,Reserve,7/15/1990,0.53,36.8199,-121.7371,20.00,22.70,6.75,,5.90,10.00,,,0.14,9.82,0.02,1.20,0.00,,0.12,3.75,,0.00,0.00
RNM,Reserve,7/15/1990,0.57,36.8364,-121.7323,21.80,25.00,7.95,,14.90,15.00,,,0.12,8.90,0.01,0.99,0.00,,0.09,2.78,,0.00,0.00
RSM,Reserve,7/15/1990,0.54,36.824,-121.74,21.70,21.50,7.07,,6.90,15.00,,,0.00,0.03,0.02,1.34,0.00,,0.07,2.21,,0.00,0.00
SKL,Lower Slough,7/15/1990,0.46,36.8106,-121.7864,17.90,21.50,7.68,,9.30,5.00,,,0.04,2.91,0.03,2.34,0.00,,0.02,0.52,,0.00,0.00
SP,Lower Slough,7/15/1990,0.64,36.8247,-121.7774,21.00,27.00,7.81,,2.60,18.00,,,0.16,11.75,0.03,2.01,0.00,,0.08,2.70,,0.00,0.00
SRB,Salinas River,7/15/1990,0.73,36.7321,-121.7807,22.00,1.50,8.23,,19.00,5.00,,,0.03,1.88,16.00,"1,142.76",0.00,,0.00,0.01,,0.00,0.00
SRL,Salinas River,7/15/1990,0.70,36.748,-121.7835,22.00,2.50,9.33,,17.70,7.00,,,0.04,2.50,16.18,"1,155.67",0.00,,0.00,0.01,,0.02,0.00
BSW,Lower Slough,8/8/1990,0.64,36.8209,-121.7909,22.80,26.20,7.84,,10.80,10.00,,,0.06,4.32,0.03,2.05,0.00,,0.33,10.64,,0.00,0.00
CC,Upper Slough,8/8/1990,0.59,36.8601,-121.7401,27.00,24.10,8.09,,18.50,20.00,,,0.02,1.74,,,0.00,,0.46,14.80,,0.00,0.00
HLE,Upper Slough,8/8/1990,0.56,36.8563,-121.7549,21.20,29.90,7.27,,4.20,8.00,,,0.06,4.01,0.05,3.72,0.00,,0.22,7.17,,0.00,0.00
HLW,Upper Slough,8/8/1990,0.57,36.8565,-121.755,23.90,29.90,7.64,,9.00,15.00,,,0.00,0.31,0.03,2.03,0.00,,0.17,5.33,,0.00,0.00
JR,Lower Slough,8/8/1990,0.65,36.8171,-121.7871,24.00,26.50,7.87,,11.70,10.00,,,0.01,0.38,0.07,4.74,0.00,,0.21,6.91,,0.00,0.00
KP,Upper Slough,8/8/1990,0.54,36.8398,-121.7437,22.00,28.10,7.57,,7.40,7.00,,,0.08,5.74,0.07,4.92,0.00,,0.13,4.15,,0.00,0.00
MCS,Lower Slough,8/8/1990,0.78,36.7963,-121.7832,23.90,26.80,8.46,,13.60,2.50,,,0.02,1.74,0.14,9.78,0.00,,0.39,12.62,,0.00,0.00
PRN,Tembladero Slough,8/8/1990,0.68,36.7908,-121.7904,19.20,25.10,7.71,,9.30,6.00,,,0.08,5.83,0.98,70.04,0.00,,0.20,6.50,,0.00,0.00
PRS,Tembladero Slough,8/8/1990,0.69,36.7904,-121.7907,25.00,5.10,8.30,,12.00,14.00,,,0.08,5.47,9.63,687.51,0.00,,0.52,16.67,,0.01,0.00
RBR,Reserve,8/8/1990,0.49,36.8199,-121.7371,19.00,28.30,6.00,,6.00,6.50,,,0.16,11.41,0.05,3.55,0.00,,0.06,2.00,,0.00,0.00
RNM,Reserve,8/8/1990,0.52,36.8364,-121.7323,22.80,31.00,8.33,,15.20,14.00,,,0.04,3.00,0.01,0.96,0.00,,0.10,3.23,,0.00,0.00
RSM,Reserve,8/8/1990,0.50,36.824,-121.74,21.50,28.40,7.80,,8.60,4.60,,,0.01,0.73,0.05,3.61,0.00,,0.08,2.73,,0.00,0.00
SKL,Lower Slough,8/8/1990,0.44,36.8106,-121.7864,17.50,25.90,8.04,,9.40,3.50,,,0.06,4.41,0.06,4.50,0.00,,0.13,4.07,,0.00,0.00
SP,Lower Slough,8/8/1990,0.62,36.8247,-121.7774,21.90,31.20,7.30,,2.10,8.00,,,0.00,0.33,0.01,1.01,0.00,,1.22,39.49,,0.00,0.00
SRB,Salinas River,8/8/1990,0.77,36.7321,-121.7807,22.20,1.20,8.25,,,5.00,,,0.03,2.40,12.21,872.28,0.00,,0.00,0.01,,0.00,0.00
SRL,Salinas River,8/8/1990,0.72,36.748,-121.7835,22.50,2.20,9.17,,15.80,7.50,,,0.00,0.24,8.94,638.48,0.00,,0.32,10.28,,0.00,0.00
BSE,Lower Slough,9/22/1990,0.58,36.8215,-121.7834,20.10,31.90,7.75,,9.00,3.50,,,0.02,1.10,0.03,1.94,0.00,,0.16,5.29,,0.00,0.00
BSW,Lower Slough,9/22/1990,0.56,36.8209,-121.7909,18.20,31.90,7.63,,7.60,2.00,,,0.03,2.06,0.03,1.82,0.00,,0.10,3.26,,0.00,0.00
CC,Upper Slough,9/22/1990,0.52,36.8601,-121.7401,20.90,18.20,8.07,,6.50,3.00,,,0.38,27.30,0.87,62.07,0.00,,0.59,19.02,,0.02,0.00
HLE,Upper Slough,9/22/1990,0.50,36.8563,-121.7549,20.80,34.00,7.06,,3.20,4.50,,,0.08,5.98,0.04,2.66,0.00,,0.15,4.84,,0.00,0.00
HLW,Upper Slough,9/22/1990,0.51,36.8565,-121.755,20.90,32.10,7.48,,5.80,6.00,,,0.07,5.19,0.06,4.12,0.00,,0.10,3.25,,0.00,0.00
JR,Lower Slough,9/22/1990,0.59,36.8171,-121.7871,19.00,31.90,7.81,,9.80,2.00,,,0.03,2.10,0.05,3.36,0.00,,0.12,3.93,,0.00,0.00
KP,Upper Slough,9/22/1990,0.49,36.8398,-121.7437,18.70,31.90,7.57,,6.60,8.00,,,0.07,5.19,0.04,3.08,0.00,,0.08,2.42,,0.00,0.00
MCS,Lower Slough,9/22/1990,0.69,36.7963,-121.7832,23.50,40.00,9.47,,18.80,4.00,,,0.02,1.11,0.07,5.28,0.00,,0.05,1.66,,0.01,0.00
PRN,Tembladero Slough,9/22/1990,0.60,36.7908,-121.7904,20.70,25.90,7.87,,9.60,4.00,,,0.06,4.34,5.38,384.27,0.00,,0.18,5.71,,0.00,0.00
PRS,Tembladero Slough,9/22/1990,0.61,36.7904,-121.7907,21.80,9.00,8.19,,14.00,5.00,,,0.02,1.55,9.42,673.19,0.00,,0.24,7.89,,0.00,0.00
RBR,Reserve,9/22/1990,0.43,36.8199,-121.7371,18.10,31.00,7.71,,6.61,5.50,,,0.07,5.12,0.04,3.17,0.00,,0.20,6.44,,0.00,0.00
RNM,Reserve,9/22/1990,0.47,36.8364,-121.7323,20.90,32.10,7.55,,5.90,5.00,,,0.11,7.54,0.03,2.14,0.00,,0.25,8.20,,0.00,0.00
RSM,Reserve,9/22/1990,0.45,36.824,-121.74,19.10,30.50,7.69,,7.20,5.00,,,0.02,1.29,0.02,1.29,0.00,,0.08,2.73,,0.00,0.00
SKL,Lower Slough,9/22/1990,0.40,36.8106,-121.7864,15.80,31.10,7.93,,8.20,2.00,,,0.05,3.61,0.07,4.79,0.00,,0.11,3.47,,0.00,0.00
SP,Lower Slough,9/22/1990,0.55,36.8247,-121.7774,20.00,35.20,7.36,,5.90,7.50,,,0.03,2.03,0.02,1.64,0.00,,0.54,17.59,,0.00,0.00
SRB,Salinas River,9/22/1990,0.67,36.7321,-121.7807,21.00,1.20,8.65,,19.70,22.00,,,0.02,1.27,13.00,928.28,0.00,,0.00,0.01,,0.00,0.00
SRL,Salinas River,9/22/1990,0.63,36.748,-121.7835,22.00,2.10,9.55,,17.80,8.50,,,0.03,2.38,6.61,471.81,0.00,,0.00,0.01,,0.02,0.00
BSE,Lower Slough,10/21/1990,0.62,36.8215,-121.7834,17.00,32.10,7.62,,7.70,4.50,,,0.08,5.89,0.05,3.66,0.00,,0.10,3.32,,0.00,0.00
BSW,Lower Slough,10/21/1990,0.60,36.8209,-121.7909,16.20,22.00,7.41,,8.40,3.00,,,0.04,2.83,0.05,3.38,0.00,,0.11,3.61,,0.00,0.00
CC,Upper Slough,10/21/1990,0.56,36.8601,-121.7401,17.00,12.20,7.10,,4.00,6.50,,,0.68,48.66,0.07,5.32,0.00,,0.31,9.91,,0.00,0.00
HLE,Upper Slough,10/21/1990,0.53,36.8563,-121.7549,16.90,33.00,6.80,,7.40,3.00,,,0.05,3.46,0.05,3.32,0.00,,0.12,3.84,,0.00,0.00
HLW,Upper Slough,10/21/1990,0.54,36.8565,-121.755,17.10,29.90,8.00,,8.80,8.50,,,0.03,2.04,0.06,3.94,0.00,,0.10,3.19,,0.00,0.00
JR,Lower Slough,10/21/1990,0.63,36.8171,-121.7871,16.90,30.00,8.01,,9.60,2.50,,,0.04,2.51,0.04,2.87,0.00,,0.15,4.69,,0.00,0.00
KP,Upper Slough,10/21/1990,0.52,36.8398,-121.7437,17.00,31.90,7.71,,7.70,5.50,,,0.09,6.31,0.02,1.18,0.00,,0.18,5.90,,0.00,0.00
MCS,Lower Slough,10/21/1990,0.75,36.7963,-121.7832,18.80,47.00,9.73,,15.20,1.50,,,0.00,0.35,0.04,2.90,0.00,,0.18,5.94,,0.00,0.00
PRN,Tembladero Slough,10/21/1990,0.64,36.7908,-121.7904,16.90,26.90,8.08,,10.20,5.00,,,0.05,3.90,4.49,320.79,0.00,,0.03,1.02,,0.00,0.00
PRS,Tembladero Slough,10/21/1990,0.65,36.7904,-121.7907,16.90,26.00,8.06,,9.50,6.00,,,0.13,9.05,8.03,573.25,0.00,,0.24,7.87,,0.00,0.00
RBR,Reserve,10/21/1990,0.47,36.8199,-121.7371,15.50,30.10,7.89,,7.75,3.00,,,0.07,5.12,0.04,3.17,0.00,,0.20,6.44,,0.00,0.00
RNM,Reserve,10/21/1990,0.49,36.8364,-121.7323,17.00,32.10,7.84,,6.10,7.00,,,0.18,12.58,0.06,4.32,0.00,,0.02,0.80,,0.00,0.00
RSM,Reserve,10/21/1990,0.45,36.824,-121.74,15.80,32.10,7.75,,7.10,4.50,,,0.06,4.60,0.04,2.73,0.00,,0.14,4.61,,0.00,0.00
SKL,Lower Slough,10/21/1990,0.40,36.8106,-121.7864,13.10,31.00,7.96,,8.50,2.00,,,0.02,1.46,0.04,2.82,0.00,,0.04,1.24,,0.00,0.00
SP,Lower Slough,10/21/1990,0.59,36.8247,-121.7774,15.00,35.90,7.45,,4.90,16.00,,,0.08,5.98,0.01,1.07,0.00,,0.46,14.97,,0.00,0.00
SRB,Salinas River,10/21/1990,0.72,36.7321,-121.7807,16.50,1.20,9.35,,19.50,22.00,,,0.02,1.23,12.31,879.33,0.00,,0.00,0.01,,0.01,0.00
SRL,Salinas River,10/21/1990,0.67,36.748,-121.7835,17.50,2.90,10.22,,18.20,19.00,,,0.05,3.29,3.95,281.98,0.00,,0.00,0.01,,0.04,0.00
BSE,Lower Slough,11/18/1990,0.55,36.8215,-121.7834,15.00,33.00,8.08,,7.90,6.50,,,0.04,2.89,0.03,2.01,0.00,,0.08,2.51,,0.00,0.00
BSW,Lower Slough,11/18/1990,0.54,36.8209,-121.7909,15.00,33.00,8.09,,8.60,5.00,,,0.06,4.40,0.01,0.86,0.00,,0.08,2.60,,0.00,0.00
CC,Upper Slough,11/18/1990,0.50,36.8601,-121.7401,15.60,22.00,7.52,,5.30,23.00,,,0.34,24.62,0.07,4.75,0.00,,0.21,6.83,,0.00,0.00
HLE,Upper Slough,11/18/1990,0.47,36.8563,-121.7549,14.00,35.00,7.80,,8.00,3.50,,,0.05,3.70,0.02,1.38,0.00,,0.06,2.05,,0.00,0.00
HLW,Upper Slough,11/18/1990,0.48,36.8565,-121.755,15.00,34.00,8.21,,9.00,8.00,,,0.07,4.79,0.03,1.82,0.00,,0.06,1.89,,0.00,0.00
JR,Lower Slough,11/18/1990,0.56,36.8171,-121.7871,15.50,33.00,8.09,,8.90,1.00,,,0.09,6.16,0.05,3.61,0.00,,0.08,2.55,,0.00,0.00
KP,Upper Slough,11/18/1990,0.46,36.8398,-121.7437,14.50,33.00,8.21,,8.00,3.00,,,0.14,10.08,0.17,12.16,0.00,,0.06,1.92,,0.01,0.00
MCS,Lower Slough,11/18/1990,0.65,36.7963,-121.7832,17.00,32.00,8.56,,17.50,3.50,,,0.04,2.70,0.02,1.76,0.00,,0.03,1.06,,0.00,0.00
PRN,Tembladero Slough,11/18/1990,0.57,36.7908,-121.7904,14.90,28.50,8.25,,19.80,7.00,,,0.02,1.35,0.93,66.12,0.00,,0.10,3.33,,0.00,0.00
PRS,Tembladero Slough,11/18/1990,0.58,36.7904,-121.7907,15.00,12.00,8.41,,8.00,55.00,,,0.21,15.11,12.91,922.40,0.00,,0.41,13.13,,0.01,0.00
RBR,Reserve,11/18/1990,0.44,36.8199,-121.7371,14.00,32.30,7.73,,7.80,4.00,,,0.05,3.54,0.02,1.77,0.00,,0.07,2.38,,0.00,0.00
RNM,Reserve,11/18/1990,0.45,36.8364,-121.7323,14.00,33.00,7.86,,8.50,5.00,,,0.12,8.52,0.03,2.15,0.00,,0.04,1.40,,0.00,0.00
RSM,Reserve,11/18/1990,0.42,36.824,-121.74,13.40,32.90,7.55,,8.10,8.00,,,0.10,6.87,0.12,8.47,0.00,,0.05,1.48,,0.00,0.00
SKL,Lower Slough,11/18/1990,0.39,36.8106,-121.7864,13.50,32.10,7.70,,7.90,2.30,,,0.06,4.49,0.05,3.40,0.00,,0.04,1.14,,0.00,0.00
SP,Lower Slough,11/18/1990,0.53,36.8247,-121.7774,13.10,34.50,7.70,,9.75,10.00,,,0.05,3.59,0.02,1.26,0.00,,0.25,8.17,,0.00,0.00
SRB,Salinas River,11/18/1990,0.64,36.7321,-121.7807,13.90,1.50,9.65,,19.00,46.00,,,0.03,2.16,11.27,805.21,0.00,,0.10,3.21,,0.02,0.00
SRL,Salinas River,11/18/1990,0.60,36.748,-121.7835,15.00,2.20,10.11,,19.40,16.00,,,0.03,2.04,0.34,23.99,0.00,,0.04,1.25,,0.02,0.00
BSE,Lower Slough,1/27/1991,0.63,36.8215,-121.7834,12.50,31.00,7.65,,8.35,6.00,,,0.08,5.99,0.04,3.20,0.00,,0.18,5.90,,0.00,0.00
BSW,Lower Slough,1/27/1991,0.62,36.8209,-121.7909,14.50,32.00,7.49,,9.20,6.00,,,0.08,5.88,0.04,2.56,0.00,,0.13,4.17,,0.00,0.00
CC,Upper Slough,1/27/1991,0.59,36.8601,-121.7401,11.00,27.20,7.57,,9.60,7.00,,,0.26,18.35,0.05,3.41,0.00,,0.11,3.70,,0.00,0.00
HLE,Upper Slough,1/27/1991,0.55,36.8563,-121.7549,10.70,34.50,7.71,,9.35,4.00,,,0.01,0.83,0.02,1.77,0.00,,0.05,1.67,,0.00,0.00
HLW,Upper Slough,1/27/1991,0.56,36.8565,-121.755,12.10,34.00,7.97,,9.39,7.50,,,0.00,0.03,0.02,1.14,0.00,,0.03,1.03,,0.00,0.00
JR,Lower Slough,1/27/1991,0.64,36.8171,-121.7871,13.90,33.00,7.72,,9.50,15.00,,,0.05,3.31,0.03,2.39,0.00,,0.07,2.10,,0.00,0.00
KP,Upper Slough,1/27/1991,0.54,36.8398,-121.7437,11.20,34.00,7.80,,9.30,3.50,,,0.00,0.03,0.02,1.33,0.00,,0.04,1.42,,0.00,0.00
MCS,Lower Slough,1/27/1991,0.72,36.7963,-121.7832,12.20,35.00,7.52,,4.90,18.00,,,0.01,0.56,0.06,4.02,0.00,,0.04,1.23,,0.00,0.00
PRN,Tembladero Slough,1/27/1991,0.65,36.7908,-121.7904,13.00,18.00,8.38,,19.10,30.00,,,0.02,1.64,4.47,319.55,0.00,,0.22,7.13,,0.00,0.00
PRS,Tembladero Slough,1/27/1991,0.66,36.7904,-121.7907,14.00,16.50,8.66,,,24.00,,,0.00,0.03,9.64,688.86,0.00,,0.16,5.10,,0.00,0.00
RBR,Reserve,1/27/1991,0.49,36.8199,-121.7371,11.20,33.20,7.30,,9.00,3.50,,,0.05,3.27,0.03,2.09,0.00,,0.06,2.04,,0.00,0.00
RNM,Reserve,1/27/1991,0.53,36.8364,-121.7323,13.00,23.50,7.69,,9.25,4.00,,,0.06,4.09,0.04,2.85,0.00,,0.04,1.29,,0.00,0.00
RSM,Reserve,1/27/1991,0.51,36.824,-121.74,11.20,33.20,7.36,,9.50,5.00,,,0.04,2.79,0.03,2.17,0.00,,1.77,57.05,,0.00,0.00
SKL,Lower Slough,1/27/1991,0.47,36.8106,-121.7864,12.00,32.10,7.67,,9.80,3.50,,,0.02,1.51,0.05,3.92,0.00,,0.04,1.23,,0.00,0.00
SP,Lower Slough,1/27/1991,0.61,36.8247,-121.7774,9.50,34.00,7.13,,4.90,17.00,,,0.03,1.80,0.02,1.49,0.00,,0.17,5.55,,0.00,0.00
SRB,Salinas River,1/27/1991,0.70,36.7321,-121.7807,10.10,2.20,8.94,,17.60,92.00,,,0.03,2.30,4.27,305.33,0.00,,0.16,5.12,,0.00,0.00
SRL,Salinas River,1/27/1991,0.67,36.748,-121.7835,11.00,4.00,8.91,,15.95,85.00,,,0.02,1.41,0.01,0.89,0.00,,0.15,4.76,,0.00,0.00
BSE,Lower Slough,2/22/1991,0.64,36.8215,-121.7834,15.90,31.90,7.74,,8.00,5.00,,,0.02,1.50,0.03,2.14,0.00,,0.06,2.05,,0.00,0.00
BSW,Lower Slough,2/22/1991,0.63,36.8209,-121.7909,19.20,33.00,7.79,,8.30,65.00,,,0.03,1.81,0.02,1.65,0.00,,0.08,2.73,,0.00,0.00
CC,Upper Slough,2/22/1991,0.59,36.8601,-121.7401,17.90,21.00,7.87,,16.20,10.00,,,0.02,1.67,0.03,2.47,0.00,,0.05,1.60,,0.00,0.00
HLE,Upper Slough,2/22/1991,0.56,36.8563,-121.7549,15.30,33.00,7.63,,7.30,10.00,,,0.01,0.62,0.02,1.35,0.00,,0.03,1.02,,0.00,0.00
HLW,Upper Slough,2/22/1991,0.57,36.8565,-121.755,18.00,32.00,8.03,,8.40,24.00,,,0.02,1.47,0.03,1.86,0.00,,0.07,2.22,,0.00,0.00
JR,Lower Slough,2/22/1991,0.56,36.8171,-121.7871,17.20,31.20,8.20,,9.10,15.00,,,0.06,3.93,0.04,3.15,0.00,,0.08,2.44,,0.00,0.00
KP,Upper Slough,2/22/1991,0.54,36.8398,-121.7437,15.50,33.00,7.83,,6.40,4.40,,,0.03,1.80,0.02,1.65,0.00,,0.13,4.25,,0.00,0.00
MCS,Lower Slough,2/22/1991,0.72,36.7963,-121.7832,16.80,32.20,7.98,,10.80,4.00,,,0.00,0.10,0.01,1.01,0.00,,0.04,1.20,,0.00,0.00
PRN,Tembladero Slough,2/22/1991,0.67,36.7908,-121.7904,17.50,15.10,8.39,,10.80,12.00,,,0.26,18.62,12.46,890.31,0.00,,0.58,18.67,,0.02,0.00
PRS,Tembladero Slough,2/22/1991,0.67,36.7904,-121.7907,18.50,12.90,8.34,,10.30,24.00,,,0.29,20.51,12.49,891.84,0.00,,0.49,15.66,,0.02,0.00
RBR,Reserve,2/22/1991,0.50,36.8199,-121.7371,16.20,32.20,8.05,,9.35,5.50,,,0.02,1.69,0.02,1.59,0.00,,0.06,2.05,,0.00,0.00
RNM,Reserve,2/22/1991,0.53,36.8364,-121.7323,18.00,33.10,8.17,,12.80,8.50,,,0.03,2.18,0.04,2.71,0.00,,0.03,0.98,,0.00,0.00
RSM,Reserve,2/22/1991,0.51,36.824,-121.74,15.90,31.00,7.97,,8.00,5.50,,,0.03,2.35,0.04,3.17,0.00,,0.07,2.16,,0.00,0.00
SKL,Lower Slough,2/22/1991,0.47,36.8106,-121.7864,14.20,31.90,7.40,,6.40,5.00,,,0.02,1.76,0.04,2.87,0.00,,0.03,1.12,,0.00,0.00
SP,Lower Slough,2/22/1991,0.61,36.8247,-121.7774,13.30,32.20,7.25,,3.20,10.00,,,0.05,3.39,0.03,2.35,0.00,,0.24,7.88,,0.00,0.00
SRB,Salinas River,2/22/1991,0.70,36.7321,-121.7807,14.90,3.50,8.73,,12.60,46.00,,,0.09,6.18,0.09,6.57,0.00,,0.23,7.34,,0.01,0.00
SRL,Salinas River,2/22/1991,0.69,36.748,-121.7835,15.50,5.00,9.18,,9.70,68.00,,,0.02,1.66,0.02,1.34,0.00,,0.11,3.50,,0.01,0.00
BSE,Lower Slough,3/5/1991,0.57,36.8215,-121.7834,13.10,27.00,7.38,,6.90,10.00,,,0.30,21.23,0.26,18.62,0.00,,0.27,8.56,,0.00,0.00
BSW,Lower Slough,3/5/1991,0.56,36.8209,-121.7909,14.00,24.00,7.56,,7.80,55.00,,,0.20,14.10,3.35,239.43,0.00,,0.30,9.57,,0.00,0.00
CC,Upper Slough,3/5/1991,0.52,36.8601,-121.7401,13.50,0.60,6.37,,5.10,400.00,,,0.20,14.45,10.28,734.17,0.00,,0.47,15.22,,0.00,0.00
HLE,Upper Slough,3/5/1991,0.51,36.8563,-121.7549,14.00,10.50,6.99,,4.25,250.00,,,0.20,14.13,5.13,366.52,0.00,,0.29,9.37,,0.00,0.00
HLW,Upper Slough,3/5/1991,0.51,36.8565,-121.755,13.50,16.80,7.07,,4.30,95.00,,,0.13,8.96,0.95,67.96,0.00,,0.13,4.27,,0.00,0.00
JR,Lower Slough,3/5/1991,0.58,36.8171,-121.7871,13.50,24.00,7.61,,7.40,10.00,,,0.18,12.54,1.29,92.30,0.00,,0.26,8.51,,0.00,0.00
KP,Upper Slough,3/5/1991,0.50,36.8398,-121.7437,13.50,25.50,7.45,,6.85,10.00,,,0.10,6.96,0.26,18.86,0.00,,0.10,3.10,,0.00,0.00
MCS,Lower Slough,3/5/1991,0.69,36.7963,-121.7832,15.00,26.90,8.07,,13.70,29.00,,,0.02,1.30,0.08,5.77,0.00,,0.05,1.52,,0.00,0.00
