ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
SP,Lower Slough,2/25/1990,0.63,36.8247,-121.7774,17.00,19.90,7.19,,0.30,60.00,,,0.72,51.30,0.01,0.52,0.00,,0.82,26.62,,0.00,0.00
SRB,Salinas River,2/25/1990,0.69,36.7321,-121.7807,15.60,0.30,8.58,,15.40,18.00,,,0.03,2.10,3.98,284.27,0.00,,0.15,4.80,,0.00,0.00
SRL,Salinas River,2/25/1990,0.67,36.748,-121.7835,15.20,6.00,8.35,,4.80,30.00,,,0.15,10.95,4.46,318.81,0.00,,0.17,5.55,,0.01,0.00
BSE,Lower Slough,3/24/1990,0.62,36.8215,-121.7834,16.80,21.00,7.59,,8.80,3.00,,,0.03,2.35,0.03,1.95,0.00,,0.56,18.00,,0.00,0.00
BSW,Lower Slough,3/24/1990,0.61,36.8209,-121.7909,17.00,25.00,7.82,,12.40,4.00,,,0.07,5.33,0.03,2.36,0.00,,0.11,3.65,,0.00,0.00
CC,Upper Slough,3/24/1990,0.58,36.8601,-121.7401,16.50,4.20,6.80,,8.70,8.00,,,0.25,17.50,0.67,47.87,0.00,,0.00,0.01,,0.00,0.00
HLE,Upper Slough,3/24/1990,0.55,36.8563,-121.7549,16.50,15.50,8.15,,11.40,5.00,,,0.09,6.17,4.00,286.04,0.00,,0.09,2.98,,0.00,0.00
HLW,Upper Slough,3/24/1990,0.56,36.8565,-121.755,17.00,25.50,8.80,,6.50,3.50,,,0.18,13.17,0.09,6.74,0.00,,0.19,6.11,,0.03,0.00
JR,Lower Slough,3/24/1990,0.63,36.8171,-121.7871,16.50,24.00,7.85,,10.30,5.00,,,0.05,3.90,0.06,4.16,0.00,,0.16,5.01,,0.00,0.00
KP,Upper Slough,3/24/1990,0.54,36.8398,-121.7437,16.20,26.50,7.78,,8.60,4.50,,,0.10,7.18,0.05,3.30,0.00,,0.12,3.80,,0.00,0.00
MCS,Lower Slough,3/24/1990,0.71,36.7963,-121.7832,18.70,12.50,9.06,,,7.50,,,0.04,2.77,0.11,7.85,0.00,,0.09,2.95,,0.01,0.00
PRN,Tembladero Slough,3/24/1990,0.72,36.7908,-121.7904,16.90,6.00,8.36,,14.80,10.00,,,0.06,4.56,2.90,206.80,0.00,,0.02,0.78,,0.00,0.00
PRS,Tembladero Slough,3/24/1990,0.72,36.7904,-121.7907,16.50,5.20,8.47,,14.20,12.00,,,0.13,9.49,10.21,729.03,0.00,,0.32,10.21,,0.01,0.00
RBR,Reserve,3/24/1990,0.49,36.8199,-121.7371,15.00,27.00,7.48,,7.30,4.00,,,0.07,5.20,0.06,4.40,0.00,,0.28,9.14,,0.00,0.00
RNM,Reserve,3/24/1990,0.53,36.8364,-121.7323,16.90,26.00,7.53,,8.10,8.50,,,0.30,21.20,0.06,3.96,0.00,,0.04,1.34,,0.00,0.00
